rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
(11S,12R)-epoxy-(5Z,8Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:131969	(11S,12R)-EET(1-)				different_inchikeys
(11S,12S)-dihydroxy-(5Z,8Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:138005	(5Z,8Z,11S,12S,14Z)-11,12-dihydroxyicosatrienoate				different_inchikeys
(11S,15S)-dihydroxy-14(R)-S-glutathionyl-(5Z,8Z,12E)-eicosatrienoate	related	UniProt	CHEBI:132200	11(S),15(S)-dihydroxy-14(R)-(S-glutathionyl)-5(Z),8(Z),12(E)-icosatrienoate(2-)				different_inchikeys
(11Z)-3-oxoicosenoyl-CoA	related	UniProt	CHEBI:74011	(11Z)-3-oxoicosa-11-enoyl-CoA(4-)				different_inchikeys
(11Z)-eicosenoate	related	UniProt	CHEBI:32426	gondoate				different_inchikeys
(11Z)-eicosenoyl-CoA	related	UniProt	CHEBI:74069	(11Z)-eicosenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74126		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	different_inchikeys
(11Z)-hexadecenoyl-CoA	related	UniProt	CHEBI:86120	(11Z)-hexadec-11-enoyl-CoA(4-)	related+http://purl.obolibrary.org/obo/CHEBI_86375		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z)-octadecenoyl-CoA	related	UniProt	CHEBI:75121	(11Z)-octadecenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_75354		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z)-tetradecenoyl-CoA	related	UniProt	CHEBI:57323	cis-tetradec-11-enoyl-CoA(4-)				different_inchikeys
(11Z,14Z)-3-oxoicosa-11,14-dienoyl-CoA	related	UniProt	CHEBI:74012	(11Z,14Z)-3-oxoicosa-11,14-dienoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74109		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z,14Z)-eicosadienoyl-CoA	related	UniProt	CHEBI:76410	(11Z,14Z)-icosadienoyl-CoA(4-)	related+http://purl.obolibrary.org/obo/CHEBI_76534		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z,14Z,17Z)-3-oxoeicosatrienoyl-CoA	related	UniProt	CHEBI:74054	(11Z,14Z,17Z)-3-oxoicosatrienoyl-CoA(4-)	related+http://purl.obolibrary.org/obo/CHEBI_74114		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z,14Z,17Z)-eicosatrienoyl-CoA	related	UniProt	CHEBI:74328	(11Z,14Z,17Z)-icosatrienoyl-CoA(4-)	related+http://purl.obolibrary.org/obo/CHEBI_74606		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z,14Z,17Z,20Z)-hexacosatetraenoyl-CoA	related	UniProt	CHEBI:74282	(11Z,14Z,17Z,20Z)-hexacosatetraenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74476		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-CoA	related	UniProt	CHEBI:74229	(11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74358		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(12E)-9alpha-labda-8(17),12,14-triene	related	UniProt	CHEBI:63707	syn-labda-8(17),12E,14-triene				different_inchikeys
(12E)-labda-8(17),12,14-triene	exact	UniProt	CHEBI:138302	(12E)-labda-8(17),12,14-triene				different_inchikeys
